381.51	1090
383.52	1093
385.52	625
387.53	1119
389.54	873
391.55	665
393.56	744
395.57	696
397.58	709
399.6	581
401.61	741
403.62	1067
405.64	620
407.66	780
409.68	667
411.7	630
413.72	718
415.74	630
417.76	808
419.78	691
421.8	816
423.82	742
425.84	738
427.87	787
429.9	688
431.92	755
433.95	1016
435.98	1408
438.01	715
440.04	698
442.07	717
444.1	740
446.14	731
448.17	669
450.2	693
452.24	744
454.27	707
456.31	703
458.35	796
460.39	688
462.43	737
464.47	742
466.51	739
468.55	716
470.59	742
472.64	781
474.68	776
476.73	761
478.78	827
480.82	779
482.87	859
484.92	947
486.96	994
489.02	996
491.07	961
493.12	947
495.18	933
497.22	889
499.28	865
501.34	759
503.4	819
505.46	809
507.51	760
509.56	781
511.62	772
513.68	817
515.76	790
517.82	838
519.88	881
521.94	816
524	812
526.07	819
528.14	823
530.21	807
532.28	841
534.34	824
536.42	838
538.48	1003
540.56	1306
542.63	2082
544.7	2164
546.78	1738
548.85	1264
550.93	1162
553	1073
555.08	933
557.16	841
559.24	793
561.32	751
563.4	771
565.48	753
567.56	749
569.65	741
571.73	765
573.82	781
575.9	772
577.99	835
580.08	927
582.16	923
584.26	980
586.34	1005
588.43	1011
590.53	926
592.62	916
594.72	801
596.81	767
598.9	854
601	810
603.1	755
605.19	791
607.3	821
609.4	1281
611.5	2282
613.6	1505
615.7	1127
617.81	928
619.9	989
622.02	878
624.12	885
626.22	843
628.33	813
630.44	907
632.55	781
634.66	712
636.77	672
638.88	655
640.99	660
643.1	653
645.22	669
647.34	637
649.45	653
651.57	677
653.68	639
655.8	596
657.92	604
660.04	605
662.16	566
664.28	600
666.41	588
668.53	584
670.65	535
672.78	529
674.9	526
677.03	574
679.16	582
681.29	539
683.42	544
685.54	544
687.68	495
689.81	489
691.94	477
694.08	525
696.21	445
698.34	508
700.48	466
702.62	506
704.76	547
706.9	534
709.04	578
711.18	564
713.32	524
715.46	508
717.6	533
719.74	497
721.89	540
724.04	549
726.18	532
728.32	524
730.48	536
732.62	528
734.78	469
736.92	537
739.08	494
741.23	529
743.38	501
745.54	488
747.69	492
749.84	484
752	490
754.16	516
756.32	531
758.48	466
760.64	499
762.8	495
764.96	496
767.12	516
769.28	487
771.45	488
773.61	500
775.78	507
777.94	461
780.11	464
782.28	480
784.45	490
786.62	554
788.79	513
790.96	510
793.14	548
795.3	566
797.48	606
799.66	537
801.84	528
804	556
806.18	648
808.36	657
810.54	651
812.72	775
814.9	812
817.08	940
819.27	951
821.46	944
823.64	1006
825.82	1071
828.01	1175
830.2	1165
832.38	1301
834.57	1219
836.76	1249
838.95	1243
841.14	1349
843.34	1293
845.53	1388
847.72	1342
849.92	1314
852.11	1255
854.31	1432
856.5	1267
858.7	1173
860.9	1315
863.1	1348
865.3	1240
867.5	1263
869.7	1320
871.91	1268
874.11	1299
876.32	1318
878.52	1303
880.73	1324
882.94	1320
885.14	1299
887.35	1335
889.56	1297
891.78	1223
893.98	1143
896.2	1274
898.41	1191
900.62	1301
902.84	1275
905.06	1283
907.28	1367
909.48	1396
911.7	1397
913.92	1276
916.14	1304
918.36	1386
920.58	1321
922.81	1161
925.04	1401
927.26	1179
929.48	1305
931.71	1309
933.94	1404
936.16	1380
938.39	1364
940.62	1223
942.85	1386
945.08	1317
947.32	1351
949.54	1319
951.78	1234
954.02	1570
956.25	1387
958.48	1329
960.72	1456
962.96	1610
965.2	1156
967.44	1429
969.68	1366
971.92	1366
974.16	1252
976.4	1368
978.65	1438
980.89	1368
983.14	1361
985.38	1566
987.63	1411
989.88	1400
992.13	1292
994.38	1345
996.63	1425
998.88	1466
1001.13	1413
1003.38	1373
1005.64	1599
1007.9	1241
1010.14	1398
1012.4	1453
1014.66	1313
1016.92	1573
1019.18	1571
